,index,name,latitude,longitude,address,category,rating,category_count
0,0,Blanco Caffè,45.450255,9.151228,Via Leone Tolstoj 9,"Bar, Café, Sandwich Spot",7.7,3
1,1,Lieti Calici,45.456005,9.157317,Via Stendhal 57,"Bar, Café, Restaurant",8.0,3
2,2,Il Caffe Ambrosiano,45.461335,9.155175,Via washington 51,"Bar, Café, Restaurant",6.7,3
3,3,Original Marines,45.454318,9.150712,Via Lorenteggio 25,"Children's Clothing Store, Clothing Store",,2
4,4,Insolite Follie,45.456182,9.152393,Via Tolstoi Leone 45,Clothing Store,,1
5,5,L'atelier del caffè,45.453278,9.147363,Via Lorenteggio 41,"Bar, Café",,2
6,6,All'ultima Moda SRL,45.450728,9.148213,Via Giambellino 42,Clothing Store,,1
7,7,Sbarbaro e Visigalli di Sbarbaro Angelo & C. SNC,45.451744,9.152998,Via Giambellino 5,Café,,1
8,8,Bar Savona 94,45.450741,9.152837,Via Savona 94,"Bar, Café, Restaurant",,3
9,9,Neil Barrett Womenswear showroom,45.45015,9.151841,Via Savona 97,Women's Store,,1
10,10,Citizens Of Humanity Italy SRL,45.45015,9.151841,Via Savona 97,"Clothing Store, Men's Store, Women's Store",,3
11,11,Bar Tabaccheria Melcaffè,45.457265,9.145514,Via Soderini 60,Café,,1
12,12,Bar Crisa,45.459175,9.146542,Viale Caterina da Forlì 7,"Café, Restaurant",,2
13,13,Astro Bar,45.451404,9.141659,Via Lorenteggio 137,"Café, Restaurant",,2
14,14,L'angolo Del Panino,45.453822,9.157986,Via Andrea Solari 41,"Café, Restaurant",,2
15,15,Bar Latteria zadea,45.457832,9.155811,Piazza de agostini,"Café, Restaurant",,2
16,16,Allegri,45.45383,9.159188,Via Stendahl 36,"Office, Clothing Store",,2
17,17,"Lubiam, Moda per L'Uomo SPA",45.447134,9.154086,Via Lodovico Il Moro 11,Clothing Store,,1
18,18,Gran Caffetteria,45.460487,9.145373,Via Fornari 50,Café,,1
19,19,Lab café,45.453332,9.138938,Via Luigi Scrosati 9,"Café, Coffee Shop, Restaurant",,3
20,20,Benetton,45.460577,9.145177,Corso Vercelli 8,Clothing Store,,1
21,21,Harold's Boutique SRL,45.457452,9.160342,Via Vincenzo Foppa 25,Clothing Store,,1
22,22,L.d. di Longhena Daniela,45.45302,9.155395,Piazza Napoli 19,"Advertising Agency, Property Management Office, Real Estate Agency, Clothing Store",,4
23,23,Essedi SPA,45.450505,9.157721,Via Boscofangone,"Clothing Store, Women's Store",,2
24,24,Baci & Abbracci Collezioni SRL,45.444982,9.150588,Via Morimondo 26,"Clothing Store, Men's Store, Women's Store",,3
25,25,Caffè Pascucci,45.483934,9.201946,Via Vittor Pisani 31,"Café, Restaurant",8.3,2
26,26,Norin Caffe Bistro,45.485041,9.198671,Via Gustavo Fara 33,"Bistro, Café, Pizzeria",8.5,3
27,27,Caffè Ungaro,45.482428,9.19999,Via Filzi 8,"Café, Restaurant",7.7,2
28,28,Muji Italia SPA,45.478704,9.209629,Corso Buenos Aires 36,Clothing Store,8.2,1
29,29,Caffè Panzera dal 1931,45.483799,9.204507,Piazza Duca d'Aosta 10,"Café, Pizzeria, Italian Restaurant",7.3,3
30,30,illy Caffè,45.483246,9.190361,Piazza Gae Aulenti,"Bar, Bistro, Café",8.1,3
31,31,Zara,45.481366,9.212193,Corso Buenos Aires 54,Clothing Store,7.4,1
32,32,AmaMi,45.480563,9.19266,Via Amerigo Vespucci 1,"Café, Pizzeria, Italian Restaurant",7.4,3
33,33,Meatball Family,45.485794,9.205852,Piazza Luigi di Savoia 1,"Café, Italian Restaurant",6.8,2
34,34,Panzera Milano,45.479835,9.193624,Viale Monte Santo 10,Café,7.3,1
35,35,Caffè Vergani,45.484115,9.21396,Via Saverio Mercadante 17,"Café, Restaurant",7.3,2
36,36,Ottolina Cafè,45.487565,9.196437,Via Galvani,"Café, Restaurant",7.0,2
37,37,Nico Quick Bite,45.483422,9.202884,Via Napo Torriani 29,"Café, Italian Restaurant",6.2,2
38,39,Caffe Italiano,45.476815,9.200913,Viale Vittorio Veneto 20,"Café, Restaurant",6.4,2
39,40,Mirò Bistrot Café,45.478402,9.20934,Corso Buenos Aires 30,"Café, Restaurant",6.3,2
40,41,United Colors of Benetton,45.477911,9.208239,Corso Buenos Aires 19,Clothing Store,6.3,1
41,42,La Caffetteria,45.486841,9.203648,Via Giovanni Battista Sammartini,Café,,1
42,43,Motta,45.485181,9.205182,Via Marsala 35,Café,5.5,1
43,44,Bar Stella,45.483076,9.204961,Via Vitruvio 43,"Bar, Café, Restaurant",,3
44,45,AnnaBiblò Bijoux,45.485398,9.20798,Viale Andrea Doria 7,Fashion Retail,,1
45,46,Chiaro di Luna SRL,45.48153,9.202037,Via Alfredo Cappellini 14,Clothing Store,,1
46,47,Adda 11 - dal Caffè al Calice,45.483471,9.197185,Via Adda 12,"Bistro, Café",,2
