,name,longitude,latitude,timestamp,free_bikes,empty_slots,total_slots
0,368 - Tolstoi - Lorenteggio,9.149430356583878,45.453710246267775,2025-02-06T20:49:44.915500Z,20,6,30
1,25 - Centrale 1,9.202571958303452,45.48545592591419,2025-02-06T20:49:44.945428Z,8,13,24
2,161 - Coni Zugna - Solari,9.16801035404205,45.4570790609292,2025-02-06T20:49:44.919206Z,25,0,36
3,16 - Moscova,9.18455958366394,45.4775338860989,2025-02-06T20:49:44.945565Z,14,7,24
4,359 - Tertulliano - Caroncini,9.21804812568328,45.449209375464,2025-02-06T20:49:44.915729Z,11,15,27
5,352 - Cordusio,9.18622358536001,45.4655540606139,2025-02-06T20:49:44.915838Z,13,16,30
6,65 - Bertarelli,9.187534153461456,45.4585296153456,2025-02-06T20:49:44.944658Z,8,15,24
7,24 - Tricolore,9.205842912197113,45.4677795495416,2025-02-06T20:49:44.945443Z,17,8,27
8,313 - Ca' Granda - F. Testi,9.200289733707905,45.506626046713706,2025-02-06T20:49:44.916499Z,18,10,30
9,130 - XXII Marzo,9.212489426136017,45.46218875996901,2025-02-06T20:49:44.944056Z,23,9,36
10,139 - Lazio - Vasari - Morosini,9.20820727944374,45.45533213750292,2025-02-06T20:49:44.918986Z,26,0,30
11,351 - Duomo 2 - Foscolo,9.1911407472792,45.4647602708966,2025-02-06T20:49:44.915885Z,11,18,33
12,61 - Augusto,9.197395017426606,45.4630080516828,2025-02-06T20:49:44.944719Z,1,28,30
13,83 - Rastrelli - Pecorari,9.191029719437132,45.4623491113649,2025-02-06T20:49:44.944319Z,19,15,36
14,203 - Taramelli RL,9.19381186366081,45.4907689453302,2025-02-06T20:49:44.919329Z,13,19,36
15,216 - Romagna - Pascoli,9.2242174,45.4764271,2025-02-06T20:49:44.917912Z,20,13,36
16,71 - Medaglie D'Oro 2,9.202967584133148,45.4518635297906,2025-02-06T20:49:44.944566Z,3,12,18
17,281 - Stefini - Ressi,9.202852919697762,45.4968635864226,2025-02-06T20:49:44.916140Z,27,3,30
18,370 - Primaticcio - Corba,9.13344878650244,45.4530012694861,2025-02-06T20:49:44.915776Z,13,13,30
19,128 - Indipendenza-Castel Morrone,9.21466737985611,45.4682780284177,2025-02-06T20:49:44.919080Z,18,18,36
20,136 - Montenero - Spartaco,9.207648038864136,45.4601362818685,2025-02-06T20:49:44.944071Z,1,24,27
21,324 - Staz. Greco - Pirelli - Cozzi,9.213593155145645,45.5128561793357,2025-02-06T20:49:44.916227Z,21,3,30
22,357 - Ciceri Visconti - Martini,9.22033353904083,45.4557114393844,2025-02-06T20:49:44.915714Z,20,8,36
23,82 - Dell'Umanitaria,9.200611263513565,45.45807432212791,2025-02-06T20:49:44.944225Z,3,20,24
24,133 - Dateo,9.21672195196151,45.4684529652424,2025-02-06T20:49:44.918502Z,22,9,36
25,23 - Regina Margherita,9.20530915260315,45.4582342395861,2025-02-06T20:49:44.945458Z,18,6,24
26,158 - Naviglio G.Valenza,9.16759729385375,45.4498182024788,2025-02-06T20:49:44.918000Z,29,1,33
