,name,longitude,latitude,timestamp,free_bikes,empty_slots,total_slots,rating_mean,venue,venue_type
0,368 - Tolstoi - Lorenteggio,9.149430356583878,45.453710246267775,2025-02-07T23:19:44.932063Z,20,8,30,3.0,2,"Thrift Stores, Baby Gear & Furniture, Women's Clothing Cocktail Bar, Café"
1,25 - Centrale 1,9.202571958303452,45.48545592591419,2025-02-07T23:19:44.938124Z,12,8,24,,1," Clothing Store, Shoe Store"
2,161 - Coni Zugna - Solari,9.16801035404205,45.4570790609292,2025-02-07T23:19:44.936019Z,27,4,36,0.0,5,Fashion Clothing Store
3,16 - Moscova,9.18455958366394,45.4775338860989,2025-02-07T23:19:44.938271Z,12,10,24,,5," Clothing Store, Women's Store"
4,359 - Tertulliano - Caroncini,9.21804812568328,45.449209375464,2025-02-07T23:19:44.932234Z,18,5,27,,0,Fashion/Café/Bus
5,352 - Cordusio,9.18622358536001,45.4655540606139,2025-02-07T23:19:44.932351Z,14,15,30,3.75,3,"Accessories Café, Restaurant"
6,65 - Bertarelli,9.187534153461456,45.4585296153456,2025-02-07T23:19:44.937264Z,11,12,24,,0,Fashion/Café/Bus
7,24 - Tricolore,9.205842912197111,45.4677795495416,2025-02-07T23:19:44.938140Z,18,7,27,1.3333333333333333,4,"Leather Goods Café, Restaurant"
8,313 - Ca' Granda - F. Testi,9.200289733707905,45.506626046713706,2025-02-07T23:19:44.933205Z,22,4,30,2.433333333333333,5,"Shoe Stores, Men's Clothing, Women's Clothing Café"
9,130 - XXII Marzo,9.212489426136017,45.46218875996901,2025-02-07T23:19:44.936611Z,26,8,36,4.75,5,"Coffee & Tea Café, Restaurant"
10,139 - Lazio - Vasari - Morosini,9.20820727944374,45.45533213750292,2025-02-07T23:19:44.935848Z,28,0,30,7.6,3," Café, Restaurant"
11,351 - Duomo 2 - Foscolo,9.1911407472792,45.4647602708966,2025-02-07T23:19:44.932401Z,14,19,33,4.0,7,Women's Clothing Shoe Store
12,83 - Rastrelli - Pecorari,9.191029719437132,45.4623491113649,2025-02-07T23:19:44.936949Z,24,9,36,5.0,1,Men's Clothing 
13,203 - Taramelli RL,9.19381186366081,45.4907689453302,2025-02-07T23:19:44.936171Z,11,22,36,4.0,1,Fashion 
14,216 - Romagna - Pascoli,9.2242174,45.4764271,2025-02-07T23:19:44.935040Z,19,14,36,0.0,2,"Sports Wear Jewelry Store, Watch Store"
15,71 - Medaglie D'Oro 2,9.202967584133148,45.4518635297906,2025-02-07T23:19:44.937157Z,13,5,18,3.8,1,"Men's Clothing, Women's Clothing, Lingerie "
16,281 - Stefini - Ressi,9.202852919697762,45.4968635864226,2025-02-07T23:19:44.932683Z,20,7,30,3.5,2,Men's Clothing Jewelry Store
17,370 - Primaticcio - Corba,9.13344878650244,45.4530012694861,2025-02-07T23:19:44.932283Z,15,13,30,0.0,5,"Coffee & Tea Home Improvement Service, Computers and Electronics Retail, Shoe Store, Housewares Store, Luggage Store"
18,128 - Indipendenza-Castel Morrone,9.21466737985611,45.4682780284177,2025-02-07T23:19:44.935910Z,12,24,36,2.5,2,Women's Clothing 
19,136 - Montenero - Spartaco,9.207648038864136,45.4601362818685,2025-02-07T23:19:44.936626Z,8,18,27,0.0,2,"Bars, Cafes, Coffee & Tea Jewelry Store"
20,324 - Staz. Greco - Pirelli - Cozzi,9.213593155145643,45.5128561793357,2025-02-07T23:19:44.932750Z,15,12,30,4.0,4,"Children's Clothing Cocktail Bar, Café, Coffee Shop"
21,357 - Ciceri Visconti - Martini,9.22033353904083,45.4557114393844,2025-02-07T23:19:44.932216Z,22,9,36,5.35,2,"Jewelry, Accessories Café, Coffee Shop, Restaurant"
22,82 - Dell'Umanitaria,9.200611263513563,45.45807432212791,2025-02-07T23:19:44.936842Z,0,23,24,,1, Fashion Accessories Store
23,133 - Dateo,9.21672195196151,45.4684529652424,2025-02-07T23:19:44.935647Z,18,13,36,8.1,2, Clothing Store
24,23 - Regina Margherita,9.20530915260315,45.4582342395861,2025-02-07T23:19:44.938155Z,17,6,24,,3, Clothing Store
25,158 - Naviglio G.Valenza,9.16759729385375,45.4498182024788,2025-02-07T23:19:44.935351Z,31,1,33,2.6,5,"Sports Wear, Education "
26,163 - Rosario,9.16284441947937,45.4549332631759,2025-02-07T23:19:44.935770Z,20,15,36,1.75,3,Fashion Clothing Store
27,7 - Santa Maria Beltrade,9.18682873249054,45.4627662999143,2025-02-07T23:19:44.938395Z,13,11,30,1.3333333333333333,7,Fashion Jewelry Store
28,62 - Treves,9.186791181564333,45.47507195002208,2025-02-07T23:19:44.937308Z,8,12,24,5.275,5,Shoe Stores Fashion Retail
29,310 - Istria M5 - F. Testi,9.198427945375444,45.5017751069887,2025-02-07T23:19:44.933187Z,23,2,30,4.0,1,Lingerie 
30,175 - Pagano - Guido D'Arezzo,9.16047066450119,45.4682554558846,2025-02-07T23:19:44.936729Z,21,12,36,3.0,4,Leather Goods Café
31,79 - Baracca,9.165100157260897,45.466436456215305,2025-02-07T23:19:44.938488Z,9,25,36,0.0,12,Shoe Stores Clothing Store
32,107 - S.Gioachimo,9.1970694065094,45.48086268896389,2025-02-07T23:19:44.936065Z,5,33,39,,1," Café, Restaurant"
33,239 - Marussig - Castelvetro,9.165998804674018,45.4864153338653,2025-02-07T23:19:44.933312Z,27,2,30,0.0,1,Shoe Stores 
34,74 - Dante - San Tomaso,9.184052646160126,45.467059098697085,2025-02-07T23:19:44.940857Z,8,7,15,3.4,2,Shoe Stores 
35,220 - Sempione - Castelvetro,9.162514410118888,45.48354588650152,2025-02-07T23:19:44.932650Z,22,2,30,1.5,5,"Fashion Audiovisual Service, Import and Export Service, Clothing Store, Jewelry Store, Men's Store, Luggage Store"
36,69 - S. Nazaro in Brolo,9.192578047513962,45.45832642709111,2025-02-07T23:19:44.937203Z,14,10,24,4.3,8,"Shoe Stores Technology Business, Fashion Retail"
37,367 - Velasquez - Osoppo,9.141293924937427,45.46746408237823,2025-02-07T23:19:44.932029Z,13,13,27,3.55,7,"Fashion Event Service, Bridal Store"
38,84 - Cadorna 2,9.17622596025467,45.4690323220327,2025-02-07T23:19:44.937053Z,4,25,30,1.6666666666666667,6,"Children's Clothing Jewelry Store, Watch Store"
39,110 - S. F. Romana,9.208573400974274,45.47641201642088,2025-02-07T23:19:44.935817Z,30,0,33,4.375,3,"Fashion Café, Diner"
40,90 - Gioia - Vespucci,9.191514967295715,45.481196228139765,2025-02-07T23:19:44.937024Z,14,8,24,,0,Fashion/Café/Bus
41,35 - Torino - Carrobbio,9.181896150112152,45.46046551115969,2025-02-07T23:19:44.937984Z,19,1,21,,0,Fashion/Café/Bus
42,152 - San Gottardo - Gentilino,9.179865717887878,45.4488980632437,2025-02-07T23:19:44.935525Z,34,1,36,,1," Bar, Café"
43,248 - Teodorico - Gattamelata,9.151471906952793,45.4844913771267,2025-02-07T23:19:44.934394Z,18,4,24,,0,Fashion/Café/Bus
44,165 - Savona - Tolstoj,9.151406988658463,45.45008812692416,2025-02-07T23:19:44.934996Z,32,4,36,,4," Bar, Café"
45,302 - De Angeli - Ripamonti,9.198437386803562,45.443269551542,2025-02-07T23:19:44.933360Z,14,14,30,0.0,1,Shoe Stores 
46,141 - Caldara / Curtatone,9.202954173088074,45.4551073006702,2025-02-07T23:19:44.936535Z,19,1,24,2.0,3,Women's Clothing Jewelry Store
47,350 - Beccaria  2- Bersaglieri,9.19483504416882,45.46314852,2025-02-07T23:19:44.932417Z,15,17,33,,2, Café
