,name,latitude,longitude,address,category,rating,category_count
0,Il Gigante,45.45465,9.15155,"Via Lorenteggio 3, 20147 Milan, Italy",Department Stores,3.5,1
1,Original Marines,45.454636927828,9.15078353136778,"Vie Lorenteggio 25, 20146 Milan, Italy","Children's Clothing, Men's Clothing, Women's Clothing",4.0,3
2,Babet,45.4525999,9.14996,"Via Leone Tolstoi 45, 20146 Milan, Italy","Used, Vintage & Consignment",0.0,2
3,OVS,45.4528812265432,9.14489306509495,"Via Redaelli 2/a, 20146 Milan, Italy",Department Stores,3.5,1
4,Tresor,45.4546584,9.1427719,"20146 Milan, Italy",Women's Clothing,5.0,1
5,Sbarbaro e Visigalli,45.45183,9.15285,"Via Giambellino 5, 20146 Milan, Italy","Coffee & Tea, Candy Stores",5.0,2
6,Galluccio / Monica,45.45405,9.14865,"Via Lorenteggio, 22, 20146 Milan, Italy",Leather Goods,0.0,1
7,Pagliuca / Emma,45.45274,9.14987,"Via Leone Tolstoi, 47, 20146 Milan, Italy",Leather Goods,0.0,1
8,MB Moda di Balossi Enrico,45.45377,9.14786,"Via Lorenteggio, 24, 20146 Milan, Italy",Lingerie,0.0,1
9,Nonostante Marras,45.4563293,9.1603098,"Via Cola di Rienzo 8, 20144 Milan, Italy","Women's Clothing, Men's Clothing, Bookstores",5.0,3
10,Mortarotti,45.4528585,9.1561161,"Via Belfiore 6, 20144 Milan, Italy","Shoe Stores, Accessories, Women's Clothing",4.0,3
11,Meet2biz,45.451889,9.1747799,"Alzaia Naviglio Grande 14, 20144 Milan, Italy","Women's Clothing, Men's Clothing, Home Decor",5.0,3
12,Dinchi,45.45294,9.14737,"Via Tito Vignoli, 46, 20146 Milan, Italy",Fashion,0.0,1
13,Intimissimi,45.4524606968089,9.14493497461081,"Via Giacinto Bruzzesi, 20146 Milan, Italy",Lingerie,3.0,1
14,Orange,45.45337,9.14657,"Via Lorenteggio 30, 20146 Milan, Italy",Women's Clothing,0.0,1
